Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
df6473cf-a70b-3401-b1ac-8d213ab31d86,CALLEN LORDE COMM HEALTH CENTER,230 WEST 17TH STREET,NEW YORK,NY,100115325,42.130417,-76.83194599565286,2122717206,0.0,159
553c4438-8662-3733-9f31-7242eacb69eb,CLINTON SQUARE OPERATIONS LLC,918 JAMES ST,SYRACUSE,NY,132032500,43.057120850000004,-76.13756448367403,3154220433,0.0,2
1097897f-7025-3f4b-8f3a-a81085f14ff0,CALLEN LORDE COMMUNITY HEALTH CENTER,356 W 18TH ST,NEW YORK,NY,100114401,40.743056800000005,-74.00318348270332,2122717280,0.0,35
616aae23-faf5-3f1c-9c40-3fa4aa684615,SCHENK PRIMARY CARE MEDICINE PLLC,2350 MAPLE RD STE 100,AMHERST,NY,142214080,42.9898084,-78.7009861,7166886500,0.0,28
ebca1449-3e4e-3d6a-bd2f-7d2ab8fbdb0b,RIDGEVIEW INTERNAL MEDICINE GROUP LLP,1850 RIDGE RD E,ROCHESTER,NY,146222475,43.2023373,-77.5683011,5853423870,0.0,44
1a889af5-b516-3d84-961c-0b7d679b238c,NORTHERN URGENT MEDICAL CARE PLLC,16418 NORTHERN BLVD,LONG ISLAND CITY,NY,111015967,40.7622052,-73.8038213,7189395900,0.0,1
1c47f382-4db1-3342-b970-5d1209cfc00a,BRUNSWICK FAMILY PRACTICE PLLC,785 HOOSICK RD,TROY,NY,121806646,42.7486309,-73.6380883,5182794065,0.0,12
db6bb5d7-e45f-3e16-a7b8-405657831146,URGENT RADIOLOGY SERVICES PC,405 CANDLEWOOD COMMONS,WOODMERE,NY,115981233,40.6320482,-73.7126314,6312402287,0.0,49
ae6a1bfa-3f32-31cd-97fd-5eb843c0b22d,HILLSIDE URGENT CARE PLLC,16403 HILLSIDE AVE,JAMAICA,NY,114324140,40.7092969,-73.7972418,7185548072,0.0,1
3d9f1778-c912-35fd-a0bd-d1cc47229a82,MERCY MEDICAL CENTER,1000 N VILLAGE AVE,ROCKVILLE CENTRE,NY,115701000,40.687163049999995,-73.6308877566128,5167052525,0.0,37
b1183ba6-ba0b-343c-9d35-5dae5157a80b,EAST END URGENT & PRIMARY CARE MEDICINE PLLC,1228 E MAIN ST,RIVERHEAD,NY,119012675,40.931373949999994,-72.64974924894308,6316033400,0.0,2
7edd5482-7e46-3757-82de-52ad028f7dca,LONG ISLAND JEWISH MEDICAL CENTER,900 FRANKLIN AVE,VALLEY STREAM,NY,115802145,40.6815493,-73.68645927443026,5162566600,0.0,16
6762c923-de11-3e8a-87a0-ec57461d7f8c,TRIBORO CENTER FOR REHABILITATION AND NURSING,1160 TELLER AVE,BRONX,NY,104564145,40.83147925,-73.91156364992112,7182931500,0.0,2
1ac40a4a-ef9c-3205-ba0c-b522629847ff,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,117723003,40.7802502,-72.97642105305104,6316547100,0.0,37
4c6c429f-03b7-3eb8-ae5d-672bb46d69a9,FAMILY & CHILDREN'S SERVICE OF THE CAPITAL REGION INC.,650 WARREN STREET,ALBANY,NY,122082998,42.6587082,-73.78713619999999,5184626531,0.0,18
d3d5e55e-a9f8-35dd-9477-ca6454202cf0,GEORGE B HUGHES MD FAMILY MEDICINE PLLC,333 KINGSLEY RD,BURNT HILLS,NY,120279509,42.9122246,-73.89596824172146,5183700094,0.0,22
e4b0c97b-faf6-334a-ba77-7667bd828673,FAMILY MEDICAL CARE OF BAYSHORE  PC,1745 UNION BLVD,BAY SHORE,NY,117067952,40.72540155,-73.24964021170264,6313285560,0.0,17
e9cb9031-ed8d-33cb-acbf-bc6c807bb0eb,QUEEN OF PEACE RESIDENCE,110-30 221ST STREET,QUEENS VILLAGE,NY,114292531,40.7296847,-73.7421371,7184641800,0.0,1
30c0d4f0-e484-39fd-a63d-d7f7a7cdaf1f,HERITAGE HOUSE NURSING CENTER  INC,2920 TIBBITS AVE,TROY,NY,121807077,42.732078,-73.6629719,5182744125,0.0,1
a3fce32a-3427-36e3-83c9-258874d167ee,THE OSBORN,101 THEALL ROAD,RYE,NY,105801406,40.9727868,-73.6997955,9149674100,0.0,10
040393fc-58db-32db-bcfa-6ed608849fee,HEALTH QUEST URGENT MEDICAL CARE PRACTICE  P.C.,1530 ROUTE 9,WAPPINGERS FALLS,NY,125904131,41.5965635,-73.9112103,8454789661,0.0,5
19de58f9-5f51-3313-9374-b65db1041a8d,OPEN DOOR FAMILY MEDICAL CENTER INC,5 GRACE CHURCH ST,PORT CHESTER,NY,105734911,40.9976151,-73.6651519,9149378899,0.0,53
7e401438-9dff-3782-a97c-dc27ddfd9e20,AHRC HEALTH CARE INC,83 MAIDEN LN,NEW YORK,NY,100384812,40.7075612,-74.0075651,2127802500,0.0,73
be9c96bb-6e39-3e37-8e64-de57be17402f,ST FRANCIS HOSPITAL,100 PORT WASHINGTON BLVD,WEST ISLIP,NY,117953105,40.7058564,-73.3077301,5165626000,0.0,79
